,*NEW*,1948,1950,congruent,is_a (inferred),is_a (input)
0,4,4,4,3,13,5
1,0,4,4,3,5,6
2,11,4,4,3,27,7
3,5,4,4,3,15,7
4,6,4,4,3,18,6
5,2,3,3,4,7,8
6,7,4,4,3,20,6
7,3,3,3,4,11,5
8,11,4,4,3,27,7
9,5,4,4,3,15,7
10,6,4,4,3,18,6
11,2,3,3,4,7,8
12,7,4,4,3,20,6
13,3,3,3,4,11,5
14,11,4,4,3,26,7
15,6,4,4,3,17,6
16,3,4,4,3,10,7
17,0,4,4,3,5,6
18,6,4,4,3,17,7
19,18,4,4,3,43,8
20,11,4,4,3,29,8
21,11,4,4,3,26,7
22,6,4,4,3,17,7
23,12,4,4,3,31,7
24,6,4,4,3,17,6
