,1948,1950,congruent,overlaps (inferred),is_a (input),is_a (inferred)
0,4,4,3,9,12,1
1,4,4,3,7,11,2
2,4,4,3,6,12,2
3,3,3,4,4,12,1
4,4,4,3,5,9,3
5,3,3,4,3,9,2
6,4,4,3,12,12,0
7,4,4,3,10,12,1
8,4,4,3,9,12,1
9,4,4,3,6,12,2
10,4,4,3,9,9,2
11,4,4,3,6,8,3
12,4,4,3,9,12,1
13,4,4,3,6,8,3
14,4,4,3,4,12,3
15,4,4,3,1,6,5
16,4,4,3,6,12,2
17,4,4,3,9,12,1
18,4,4,3,7,11,2
19,4,4,3,6,12,2
20,3,3,4,4,12,1
21,4,4,3,5,9,3
22,3,3,4,3,9,2
23,4,4,3,3,9,4
24,4,4,3,1,6,5
