,pw,x1
232,24,"""1_D"""
233,24,"""1_E"""
234,24,"""2_B"""
235,24,"""2_D"""
236,24,"""2_F"""
237,24,"""2_G"""
238,24,"""1_A"""
239,24,"""2_A"""
240,25,"""1_B"""
241,25,"""1_C"""
242,25,"""1_D"""
243,25,"""1_E"""
244,25,"""2_B"""
245,25,"""2_D"""
246,25,"""2_F"""
247,25,"""2_G"""
248,25,"""1_A"""
249,25,"""2_A"""
250,26,"""1_B"""
251,26,"""1_C"""
252,26,"""1_D"""
253,26,"""1_E"""
254,26,"""2_B"""
255,26,"""2_D"""
256,26,"""2_F"""
257,26,"""2_G"""
258,26,"""1_A"""
259,26,"""2_A"""
260,27,"""1_B"""
261,27,"""1_C"""
262,27,"""1_D"""
263,27,"""1_E"""
264,27,"""2_B"""
265,27,"""2_D"""
266,27,"""2_F"""
267,27,"""2_G"""
268,27,"""1_A"""
269,27,"""2_A"""
270,28,"""1_B"""
271,28,"""1_C"""
272,28,"""1_D"""
273,28,"""1_E"""
274,28,"""2_B"""
275,28,"""2_D"""
276,28,"""2_F"""
277,28,"""2_G"""
278,28,"""1_A"""
279,28,"""2_A"""
280,29,"""1_B"""
281,29,"""1_C"""
282,29,"""1_D"""
283,29,"""1_E"""
284,29,"""2_B"""
285,29,"""2_D"""
286,29,"""2_F"""
287,29,"""2_G"""
288,29,"""1_A"""
289,29,"""2_A"""
290,30,"""1_B"""
291,30,"""1_C"""
292,30,"""1_D"""
293,30,"""1_E"""
294,30,"""2_B"""
295,30,"""2_D"""
296,30,"""2_F"""
297,30,"""2_G"""
298,30,"""1_A"""
299,30,"""2_A"""
300,31,"""1_B"""
301,31,"""1_C"""
302,31,"""1_D"""
303,31,"""1_E"""
304,31,"""2_B"""
305,31,"""2_D"""
306,31,"""2_F"""
307,31,"""2_G"""
308,31,"""1_A"""
309,31,"""2_A"""
310,32,"""1_B"""
311,32,"""1_C"""
312,32,"""1_D"""
313,32,"""1_E"""
314,32,"""2_B"""
315,32,"""2_D"""
316,32,"""2_F"""
317,32,"""2_G"""
318,32,"""1_A"""
319,32,"""2_A"""
320,33,"""1_B"""
321,33,"""1_C"""
322,33,"""1_D"""
323,33,"""1_E"""
324,33,"""2_B"""
325,33,"""2_D"""
326,33,"""2_F"""
327,33,"""2_G"""
328,33,"""1_A"""
329,33,"""2_A"""
330,34,"""1_B"""
331,34,"""1_C"""
332,34,"""1_D"""
333,34,"""1_E"""
334,34,"""2_B"""
335,34,"""2_D"""
336,34,"""2_F"""
337,34,"""2_G"""
338,34,"""1_A"""
339,34,"""2_A"""
340,35,"""1_B"""
341,35,"""1_C"""
342,35,"""1_D"""
343,35,"""1_E"""
344,35,"""2_B"""
345,35,"""2_D"""
346,35,"""2_F"""
347,35,"""2_G"""
348,35,"""1_A"""
349,35,"""2_A"""
350,36,"""1_B"""
351,36,"""1_C"""
352,36,"""1_D"""
353,36,"""1_E"""
354,36,"""2_B"""
355,36,"""2_D"""
356,36,"""2_F"""
357,36,"""2_G"""
358,36,"""1_A"""
359,36,"""2_A"""
