,pw,x1
465,17,35
466,17,2
467,17,8
468,17,14
469,17,19
470,17,26
471,17,31
472,17,32
473,17,12
474,17,24
475,17,3
476,17,5
477,17,1
478,17,15
479,17,17
480,18,6
481,18,18
482,18,30
483,18,4
484,18,9
485,18,10
486,18,11
487,18,16
488,18,21
489,18,22
490,18,23
491,18,28
492,18,33
493,18,35
494,18,2
495,18,8
496,18,14
497,18,19
498,18,26
499,18,31
500,18,32
501,18,12
502,18,24
503,18,3
504,18,5
505,18,1
506,18,29
507,19,6
508,19,18
509,19,30
510,19,4
511,19,9
512,19,10
513,19,11
514,19,16
515,19,21
516,19,22
517,19,23
518,19,28
519,19,33
520,19,35
521,19,2
522,19,8
523,19,14
524,19,19
525,19,26
526,19,31
527,19,32
528,19,12
529,19,24
530,19,3
531,19,5
532,19,1
533,19,15
534,19,29
535,20,6
536,20,18
537,20,30
538,20,4
539,20,9
540,20,10
541,20,11
542,20,16
543,20,21
544,20,22
545,20,23
546,20,28
547,20,33
548,20,35
549,20,2
550,20,8
551,20,14
552,20,19
553,20,26
554,20,31
555,20,32
556,20,12
557,20,24
558,20,3
559,20,5
560,20,1
561,20,15
562,21,6
563,21,18
564,21,30
565,21,4
566,21,9
567,21,10
568,21,11
569,21,16
570,21,21
571,21,22
572,21,23
573,21,28
574,21,33
575,21,35
576,21,2
577,21,8
578,21,14
579,21,19
580,21,26
581,21,31
582,21,32
583,21,12
584,21,24
585,21,3
586,21,5
587,21,1
588,22,6
589,22,18
590,22,30
591,22,4
592,22,9
593,22,10
594,22,11
595,22,16
596,22,21
597,22,22
598,22,23
599,22,28
600,22,33
601,22,35
602,22,2
603,22,8
604,22,14
605,22,19
606,22,26
607,22,31
608,22,32
609,22,12
610,22,24
611,22,3
612,22,5
613,22,1
614,22,13
615,22,25
616,23,6
617,23,18
618,23,30
619,23,4
620,23,9
621,23,10
622,23,11
623,23,16
624,23,21
625,23,22
626,23,23
627,23,28
628,23,33
629,23,35
630,23,2
631,23,8
632,23,14
633,23,19
634,23,26
635,23,31
636,23,32
637,23,12
638,23,24
639,23,3
640,23,5
641,23,1
642,23,15
643,23,13
644,23,25
645,24,6
646,24,18
647,24,30
648,24,4
649,24,9
650,24,10
651,24,11
652,24,16
653,24,21
654,24,22
655,24,23
656,24,28
657,24,33
658,24,35
659,24,2
660,24,8
661,24,14
662,24,19
663,24,26
664,24,31
665,24,32
666,24,12
667,24,24
668,24,3
669,24,5
670,24,1
671,24,25
672,25,6
673,25,18
674,25,30
675,25,4
676,25,9
677,25,10
678,25,11
679,25,16
680,25,21
681,25,22
682,25,23
683,25,28
684,25,33
685,25,35
686,25,2
687,25,8
688,25,14
689,25,19
690,25,26
691,25,31
692,25,32
693,25,12
694,25,24
695,25,3
696,25,5
697,25,1
698,25,15
699,25,25
700,26,6
701,26,18
702,26,30
703,26,4
704,26,9
705,26,10
706,26,11
707,26,16
708,26,21
709,26,22
710,26,23
711,26,28
712,26,33
713,26,35
714,26,2
715,26,8
716,26,14
717,26,19
718,26,26
719,26,31
720,26,32
721,26,12
722,26,24
723,26,3
724,26,5
725,26,1
726,26,29
727,26,13
728,26,25
729,27,6
730,27,18
731,27,30
732,27,4
733,27,9
734,27,10
735,27,11
736,27,16
737,27,21
738,27,22
739,27,23
740,27,28
741,27,33
742,27,35
743,27,2
744,27,8
745,27,14
746,27,19
747,27,26
748,27,31
749,27,32
750,27,12
751,27,24
752,27,3
753,27,5
754,27,1
755,27,15
756,27,29
757,27,13
758,27,25
759,28,6
760,28,18
761,28,30
762,28,4
763,28,9
764,28,10
765,28,11
766,28,16
767,28,21
768,28,22
769,28,23
770,28,28
771,28,33
772,28,35
773,28,2
774,28,8
775,28,14
776,28,19
777,28,26
778,28,31
779,28,32
780,28,12
781,28,24
782,28,3
783,28,5
784,28,1
785,28,17
786,28,13
787,28,25
788,29,6
789,29,18
790,29,30
791,29,4
792,29,9
793,29,10
794,29,11
795,29,16
796,29,21
797,29,22
798,29,23
799,29,28
800,29,33
801,29,35
802,29,2
803,29,8
804,29,14
805,29,19
806,29,26
807,29,31
808,29,32
809,29,12
810,29,24
811,29,3
812,29,5
813,29,1
814,29,29
815,29,25
816,30,6
817,30,18
818,30,30
819,30,4
820,30,9
821,30,10
822,30,11
823,30,16
824,30,21
825,30,22
826,30,23
827,30,28
828,30,33
829,30,35
830,30,2
831,30,8
832,30,14
833,30,19
834,30,26
835,30,31
836,30,32
837,30,12
838,30,24
839,30,3
840,30,5
841,30,1
842,30,15
843,30,29
844,30,25
845,31,6
846,31,18
847,31,30
848,31,4
849,31,9
850,31,10
851,31,11
852,31,16
853,31,21
854,31,22
855,31,23
856,31,28
857,31,33
858,31,35
859,31,2
860,31,8
861,31,14
862,31,19
863,31,26
864,31,31
865,31,32
866,31,12
867,31,24
868,31,3
869,31,5
870,31,1
871,31,17
872,31,25
873,32,6
874,32,18
875,32,30
876,32,4
877,32,9
878,32,10
879,32,11
880,32,16
881,32,21
882,32,22
883,32,23
884,32,28
885,32,33
886,32,35
887,32,2
888,32,8
889,32,14
890,32,19
891,32,26
892,32,31
893,32,32
894,32,12
895,32,24
896,32,3
897,32,5
898,32,1
899,32,15
900,32,17
901,32,25
