,1948,1950,congruent,overlaps (inferred),is_a (input),is_a (inferred)
0,3,3,4,4,11,2
1,1,1,6,1,9,0
2,3,3,4,3,7,3
3,0,0,7,0,6,0
4,3,3,4,3,7,3
5,3,3,4,9,11,0
6,3,3,4,4,9,2
