,pw,x1
0,1,7
1,1,20
2,1,34
3,1,15
4,1,17
5,1,25
6,2,7
7,2,20
8,2,34
9,2,13
10,2,15
11,2,17
12,2,25
13,3,7
14,3,20
15,3,34
16,3,15
17,3,29
18,4,7
19,4,20
20,4,34
21,4,13
22,4,15
23,4,29
24,5,7
25,5,20
26,5,34
27,5,15
28,5,25
29,5,29
30,6,7
31,6,20
32,6,34
33,6,13
34,6,15
35,6,25
36,6,29
37,7,7
38,7,20
39,7,34
40,7,15
41,7,17
42,7,29
43,8,7
44,8,20
45,8,34
46,8,13
47,8,15
48,8,17
49,8,29
50,9,7
51,9,20
52,9,34
53,9,15
54,9,17
55,9,25
56,9,29
57,10,7
58,10,20
59,10,34
60,10,13
61,10,15
62,10,17
63,10,25
64,10,29
65,11,7
66,11,20
67,11,34
68,11,17
69,11,27
70,12,7
71,12,20
72,12,34
73,12,13
74,12,17
75,12,27
76,13,7
77,13,20
78,13,34
79,13,17
80,13,25
81,13,27
82,14,7
83,14,20
84,14,34
85,14,13
86,14,17
87,14,25
88,14,27
89,15,7
90,15,20
91,15,34
92,15,15
93,15,17
94,15,27
95,16,7
96,16,20
97,16,34
98,16,13
99,16,15
100,16,17
101,16,27
102,17,7
103,17,20
104,17,34
105,17,15
106,17,17
107,17,25
108,17,27
109,18,7
110,18,20
111,18,34
112,18,13
113,18,15
114,18,17
115,18,25
116,18,27
117,19,7
118,19,20
119,19,34
120,19,13
121,19,27
122,19,29
123,20,7
124,20,20
125,20,34
126,20,13
127,20,25
128,20,27
129,20,29
130,21,7
131,21,20
132,21,34
133,21,15
134,21,27
135,21,29
136,22,7
137,22,20
138,22,34
139,22,13
140,22,15
141,22,27
142,22,29
143,23,7
144,23,20
145,23,34
146,23,15
147,23,25
148,23,27
149,23,29
150,24,7
151,24,20
152,24,34
153,24,13
154,24,15
155,24,25
156,24,27
157,24,29
158,25,7
159,25,20
160,25,34
161,25,17
162,25,27
163,25,29
164,26,7
165,26,20
166,26,34
167,26,13
168,26,17
169,26,27
170,26,29
171,27,7
172,27,20
173,27,34
174,27,17
175,27,25
176,27,27
177,27,29
178,28,7
179,28,20
180,28,34
181,28,13
182,28,17
183,28,25
184,28,27
185,28,29
186,29,7
187,29,20
188,29,34
189,29,15
190,29,17
191,29,27
192,29,29
193,30,7
194,30,20
195,30,34
196,30,13
197,30,15
198,30,17
199,30,27
200,30,29
201,31,7
202,31,20
203,31,34
204,31,15
205,31,17
206,31,25
207,31,27
208,31,29
209,32,7
210,32,20
211,32,34
212,32,13
213,32,15
214,32,17
215,32,25
216,32,27
217,32,29
