,1948,1950,congruent,overlaps (inferred),is_a (input),is_a (inferred)
0,4,4,3,7,13,1
1,4,4,3,6,13,1
2,4,4,3,5,12,2
3,3,3,4,3,11,1
4,4,4,3,5,12,2
5,3,3,4,4,12,1
6,4,4,3,10,13,0
7,4,4,3,9,13,0
8,4,4,3,8,12,1
9,4,4,3,5,11,2
10,4,4,3,9,13,0
11,4,4,3,7,12,1
12,4,4,3,7,13,1
13,4,4,3,6,13,1
14,4,4,3,4,11,3
15,4,4,3,3,11,3
16,4,4,3,5,12,2
17,4,4,3,8,12,1
18,4,4,3,7,12,1
19,4,4,3,5,12,2
20,3,3,4,4,12,1
21,4,4,3,5,11,2
22,3,3,4,3,11,1
23,4,4,3,4,11,3
24,4,4,3,3,11,3
