,pw,x1
465,17,18
466,17,24
467,17,30
468,17,8
469,17,14
470,17,26
471,17,32
472,17,19
473,17,21
474,17,22
475,17,23
476,17,10
477,17,16
478,17,28
479,17,31
480,17,33
481,17,35
482,17,9
483,17,11
484,17,13
485,17,29
486,18,1
487,18,2
488,18,3
489,18,4
490,18,5
491,18,6
492,18,12
493,18,18
494,18,24
495,18,30
496,18,8
497,18,14
498,18,26
499,18,32
500,18,19
501,18,21
502,18,22
503,18,23
504,18,10
505,18,16
506,18,28
507,18,31
508,18,33
509,18,35
510,18,9
511,18,11
512,18,29
513,19,1
514,19,2
515,19,3
516,19,4
517,19,5
518,19,6
519,19,12
520,19,18
521,19,24
522,19,30
523,19,8
524,19,14
525,19,26
526,19,32
527,19,19
528,19,21
529,19,22
530,19,23
531,19,10
532,19,16
533,19,28
534,19,31
535,19,33
536,19,35
537,19,9
538,19,11
539,19,15
540,19,17
541,19,25
542,20,1
543,20,2
544,20,3
545,20,4
546,20,5
547,20,6
548,20,12
549,20,18
550,20,24
551,20,30
552,20,8
553,20,14
554,20,26
555,20,32
556,20,19
557,20,21
558,20,22
559,20,23
560,20,10
561,20,16
562,20,28
563,20,31
564,20,33
565,20,35
566,20,9
567,20,11
568,20,15
569,20,17
570,21,1
571,21,2
572,21,3
573,21,4
574,21,5
575,21,6
576,21,12
577,21,18
578,21,24
579,21,30
580,21,8
581,21,14
582,21,26
583,21,32
584,21,19
585,21,21
586,21,22
587,21,23
588,21,10
589,21,16
590,21,28
591,21,31
592,21,33
593,21,35
594,21,9
595,21,11
596,21,13
597,21,17
598,21,25
599,22,1
600,22,2
601,22,3
602,22,4
603,22,5
604,22,6
605,22,12
606,22,18
607,22,24
608,22,30
609,22,8
610,22,14
611,22,26
612,22,32
613,22,19
614,22,21
615,22,22
616,22,23
617,22,10
618,22,16
619,22,28
620,22,31
621,22,33
622,22,35
623,22,9
624,22,11
625,22,17
626,22,25
627,23,1
628,23,2
629,23,3
630,23,4
631,23,5
632,23,6
633,23,12
634,23,18
635,23,24
636,23,30
637,23,8
638,23,14
639,23,26
640,23,32
641,23,19
642,23,21
643,23,22
644,23,23
645,23,10
646,23,16
647,23,28
648,23,31
649,23,33
650,23,35
651,23,9
652,23,11
653,23,13
654,23,17
655,24,1
656,24,2
657,24,3
658,24,4
659,24,5
660,24,6
661,24,12
662,24,18
663,24,24
664,24,30
665,24,8
666,24,14
667,24,26
668,24,32
669,24,19
670,24,21
671,24,22
672,24,23
673,24,10
674,24,16
675,24,28
676,24,31
677,24,33
678,24,35
679,24,9
680,24,11
681,24,17
682,25,1
683,25,2
684,25,3
685,25,4
686,25,5
687,25,6
688,25,12
689,25,18
690,25,24
691,25,30
692,25,8
693,25,14
694,25,26
695,25,32
696,25,19
697,25,21
698,25,22
699,25,23
700,25,10
701,25,16
702,25,28
703,25,31
704,25,33
705,25,35
706,25,9
707,25,11
708,25,13
709,25,15
710,25,25
711,26,1
712,26,2
713,26,3
714,26,4
715,26,5
716,26,6
717,26,12
718,26,18
719,26,24
720,26,30
721,26,8
722,26,14
723,26,26
724,26,32
725,26,19
726,26,21
727,26,22
728,26,23
729,26,10
730,26,16
731,26,28
732,26,31
733,26,33
734,26,35
735,26,9
736,26,11
737,26,15
738,26,25
739,27,1
740,27,2
741,27,3
742,27,4
