,pw,x1
232,24,"""1_d"""
233,24,"""1_e"""
234,24,"""2_b"""
235,24,"""2_d"""
236,24,"""2_f"""
237,24,"""2_g"""
238,24,"""1_a"""
239,24,"""2_a"""
240,25,"""1_b"""
241,25,"""1_c"""
242,25,"""1_d"""
243,25,"""1_e"""
244,25,"""2_b"""
245,25,"""2_d"""
246,25,"""2_f"""
247,25,"""2_g"""
248,25,"""1_a"""
249,25,"""2_a"""
250,26,"""1_b"""
251,26,"""1_c"""
252,26,"""1_d"""
253,26,"""1_e"""
254,26,"""2_b"""
255,26,"""2_d"""
256,26,"""2_f"""
257,26,"""2_g"""
258,26,"""1_a"""
259,26,"""2_a"""
260,27,"""1_b"""
261,27,"""1_c"""
262,27,"""1_d"""
263,27,"""1_e"""
264,27,"""2_b"""
265,27,"""2_d"""
266,27,"""2_f"""
267,27,"""2_g"""
268,27,"""1_a"""
269,27,"""2_a"""
270,28,"""1_b"""
271,28,"""1_c"""
272,28,"""1_d"""
273,28,"""1_e"""
274,28,"""2_b"""
275,28,"""2_d"""
276,28,"""2_f"""
277,28,"""2_g"""
278,28,"""1_a"""
279,28,"""2_a"""
280,29,"""1_b"""
281,29,"""1_c"""
282,29,"""1_d"""
283,29,"""1_e"""
284,29,"""2_b"""
285,29,"""2_d"""
286,29,"""2_f"""
287,29,"""2_g"""
288,29,"""1_a"""
289,29,"""2_a"""
290,30,"""1_b"""
291,30,"""1_c"""
292,30,"""1_d"""
293,30,"""1_e"""
294,30,"""2_b"""
295,30,"""2_d"""
296,30,"""2_f"""
297,30,"""2_g"""
298,30,"""1_a"""
299,30,"""2_a"""
300,31,"""1_b"""
301,31,"""1_c"""
302,31,"""1_d"""
303,31,"""1_e"""
304,31,"""2_b"""
305,31,"""2_d"""
306,31,"""2_f"""
307,31,"""2_g"""
308,31,"""1_a"""
309,31,"""2_a"""
310,32,"""1_b"""
311,32,"""1_c"""
312,32,"""1_d"""
313,32,"""1_e"""
314,32,"""2_b"""
315,32,"""2_d"""
316,32,"""2_f"""
317,32,"""2_g"""
318,32,"""1_a"""
319,32,"""2_a"""
320,33,"""1_b"""
321,33,"""1_c"""
322,33,"""1_d"""
323,33,"""1_e"""
324,33,"""2_b"""
325,33,"""2_d"""
326,33,"""2_f"""
327,33,"""2_g"""
328,33,"""1_a"""
329,33,"""2_a"""
330,34,"""1_b"""
331,34,"""1_c"""
332,34,"""1_d"""
333,34,"""1_e"""
334,34,"""2_b"""
335,34,"""2_d"""
336,34,"""2_f"""
337,34,"""2_g"""
338,34,"""1_a"""
339,34,"""2_a"""
340,35,"""1_b"""
341,35,"""1_c"""
342,35,"""1_d"""
343,35,"""1_e"""
344,35,"""2_b"""
345,35,"""2_d"""
346,35,"""2_f"""
347,35,"""2_g"""
348,35,"""1_a"""
349,35,"""2_a"""
350,36,"""1_b"""
351,36,"""1_c"""
352,36,"""1_d"""
353,36,"""1_e"""
354,36,"""2_b"""
355,36,"""2_d"""
356,36,"""2_f"""
357,36,"""2_g"""
358,36,"""1_a"""
359,36,"""2_a"""
