,*NEW*,1948,1950,congruent,is_a (input),is_a (inferred)
0,7,4,4,3,6,19
1,2,3,3,4,8,7
2,13,4,4,3,4,37
3,6,4,4,3,3,20
4,7,4,4,3,5,20
5,3,3,3,4,5,9
6,14,4,4,3,5,38
7,8,4,4,3,5,21
8,6,4,4,3,3,20
9,2,4,4,3,5,9
10,20,4,4,3,5,54
11,13,4,4,3,4,37
12,12,4,4,3,3,36
13,6,4,4,3,5,20
14,13,4,4,3,5,31
15,7,4,4,3,5,18
16,6,4,4,3,5,17
