,*NEW*,CEN,TZ,is_a (inferred),is_a (input),congruent
228,34,5,5,99,1,0
229,31,5,5,85,0,0
230,30,5,5,83,1,0
231,27,5,5,69,0,0
232,32,5,5,96,2,0
233,29,5,5,84,2,0
234,29,5,5,83,1,0
235,25,5,5,69,1,0
236,28,5,5,78,1,0
237,25,5,5,67,1,0
238,25,5,5,66,0,0
239,21,5,5,53,0,0
